S̩ance,Instrument,Variation
02/01/2002,2646.57,-2.97
03/01/2002,2594.24,-1.98
04/01/2002,2621.03,1.03
07/01/2002,2610.24,-0.41
08/01/2002,2593.45,-0.64
09/01/2002,2572.53,-0.81
10/01/2002,2598.94,1.03
14/01/2002,2585.61,-0.51
15/01/2002,2576.97,-0.33
16/01/2002,2575.29,-0.07
17/01/2002,2584.0,0.34
18/01/2002,2607.51,0.91
21/01/2002,2598.98,-0.33
22/01/2002,2575.06,-0.92
23/01/2002,2565.11,-0.39
24/01/2002,2581.67,0.65
25/01/2002,2596.4,0.57
28/01/2002,2602.61,0.24
29/01/2002,2592.78,-0.38
30/01/2002,2589.9,-0.11
31/01/2002,2586.82,-0.12
01/02/2002,2582.63,-0.16
04/02/2002,2577.11,-0.21
05/02/2002,2563.56,-0.53
06/02/2002,2550.11,-0.52
07/02/2002,2543.57,-0.26
08/02/2002,2561.78,0.72
11/02/2002,2530.74,-1.21
12/02/2002,2546.48,0.62
13/02/2002,2544.67,-0.07
14/02/2002,2545.82,0.05
15/02/2002,2564.92,0.75
18/02/2002,2562.1,-0.11
19/02/2002,2541.56,-0.8
20/02/2002,2540.68,-0.03
21/02/2002,2532.2,-0.33
22/02/2002,2537.59,0.21
26/02/2002,2543.66,0.24
27/02/2002,2545.58,0.08
28/02/2002,2553.57,0.31
01/03/2002,2559.1,0.22
04/03/2002,2558.37,-0.03
05/03/2002,2538.07,-0.79
06/03/2002,2536.28,-0.07
07/03/2002,2536.28,0.0
08/03/2002,2540.37,0.16
11/03/2002,2530.77,-0.38
12/03/2002,2514.5,-0.64
13/03/2002,2520.15,0.22
14/03/2002,2511.18,-0.36
15/03/2002,2486.56,-0.98
18/03/2002,2489.17,0.1
19/03/2002,2525.96,1.48
20/03/2002,2534.13,0.32
21/03/2002,2530.42,-0.15
22/03/2002,2519.36,-0.44
25/03/2002,2525.06,0.23
26/03/2002,2509.03,-0.64
27/03/2002,2514.13,0.2
28/03/2002,2509.34,-0.19
29/03/2002,2497.39,-0.48
01/04/2002,2499.16,0.07
02/04/2002,2496.29,-0.11
03/04/2002,2498.65,0.09
04/04/2002,2508.2,0.38
05/04/2002,2506.72,-0.06
08/04/2002,2506.75,0.0
09/04/2002,2512.8,0.24
10/04/2002,2504.26,-0.34
11/04/2002,2507.91,0.15
12/04/2002,2516.3,0.33
15/04/2002,2531.82,0.62
16/04/2002,2535.04,0.13
17/04/2002,2545.75,0.42
18/04/2002,2517.33,-1.12
19/04/2002,2502.66,-0.58
22/04/2002,2506.93,0.17
23/04/2002,2508.44,0.06
24/04/2002,2498.9,-0.38
25/04/2002,2504.34,0.22
26/04/2002,2495.56,-0.35
29/04/2002,2501.08,0.22
30/04/2002,2502.02,0.04
02/05/2002,2493.75,-0.33
03/05/2002,2452.11,-1.67
06/05/2002,2454.05,0.08
07/05/2002,2458.0,0.16
08/05/2002,2450.71,-0.3
09/05/2002,2442.4,-0.34
10/05/2002,2417.54,-1.02
13/05/2002,2423.59,0.25
14/05/2002,2419.66,-0.16
15/05/2002,2419.68,0.0
16/05/2002,2432.55,0.53
17/05/2002,2434.57,0.08
20/05/2002,2435.52,0.04
21/05/2002,2405.93,-1.21
22/05/2002,2421.86,0.66
23/05/2002,2420.41,-0.06
24/05/2002,2413.64,-0.28
27/05/2002,2417.56,0.16
28/05/2002,2409.5,-0.33
29/05/2002,2391.55,-0.74
30/05/2002,2403.92,0.52
31/05/2002,2408.81,0.2
03/06/2002,2386.29,-0.93
04/06/2002,2371.01,-0.64
05/06/2002,2350.56,-0.86
06/06/2002,2355.08,0.19
07/06/2002,2338.37,-0.71
10/06/2002,2341.93,0.15
11/06/2002,2328.47,-0.57
12/06/2002,2304.3,-1.04
13/06/2002,2307.98,0.16
14/06/2002,2335.07,1.17
17/06/2002,2325.22,-0.42
18/06/2002,2312.83,-0.53
19/06/2002,2298.8,-0.61
20/06/2002,2308.94,0.44
21/06/2002,2300.67,-0.36
24/06/2002,2315.27,0.63
25/06/2002,2319.75,0.19
26/06/2002,2345.99,1.13
27/06/2002,2365.23,0.82
28/06/2002,2389.98,1.05
01/07/2002,2343.72,-1.94
02/07/2002,2324.63,-0.81
03/07/2002,2304.04,-0.89
04/07/2002,2297.07,-0.3
05/07/2002,2294.96,-0.09
08/07/2002,2285.99,-0.39
09/07/2002,2280.93,-0.22
10/07/2002,2283.43,0.11
11/07/2002,2302.27,0.83
12/07/2002,2281.28,-0.91
15/07/2002,2283.49,0.1
16/07/2002,2284.56,0.05
17/07/2002,2294.73,0.45
18/07/2002,2270.54,-1.05
19/07/2002,2260.19,-0.46
