"Date","Price","Open","High","Low","Change %"
"Jan 17, 2022","10.5344","10.5358","10.5512","10.5203","0.01%"
"Jan 14, 2022","10.5330","10.5567","10.5707","10.5182","-0.16%"
"Jan 13, 2022","10.5502","10.5419","10.5670","10.5293","0.11%"
"Jan 12, 2022","10.5381","10.5191","10.5539","10.4972","0.22%"
"Jan 11, 2022","10.5154","10.5040","10.5290","10.4925","0.14%"
"Jan 10, 2022","10.5002","10.5180","10.5271","10.4827","-0.12%"
"Jan 07, 2022","10.5133","10.4770","10.5204","10.4721","0.39%"
"Jan 06, 2022","10.4724","10.4869","10.5042","10.4632","-0.10%"
"Jan 05, 2022","10.4832","10.4698","10.5028","10.4542","0.17%"
"Jan 04, 2022","10.4651","10.4754","10.4912","10.4503","-0.08%"
"Jan 03, 2022","10.4735","10.5190","10.5333","10.4577","-0.38%"
"Dec 31, 2021","10.5139","10.4722","10.5385","10.4579","0.43%"
"Dec 30, 2021","10.4693","10.4845","10.4924","10.4561","-0.10%"
"Dec 29, 2021","10.4798","10.4936","10.5044","10.4541","-0.09%"
"Dec 28, 2021","10.4893","10.5093","10.5205","10.4799","-0.15%"
"Dec 27, 2021","10.5055","10.4755","10.5177","10.4680","0.28%"
"Dec 24, 2021","10.4759","10.4868","10.4950","10.4661","-0.06%"
"Dec 23, 2021","10.4821","10.4792","10.4966","10.4642","0.07%"
"Dec 22, 2021","10.4750","10.4566","10.4958","10.4494","0.17%"
"Dec 21, 2021","10.4575","10.4650","10.4775","10.4506","-0.02%"
"Dec 20, 2021","10.4598","10.4510","10.4775","10.4364","0.15%"
"Dec 17, 2021","10.4445","10.4775","10.4931","10.4389","-0.27%"
"Dec 16, 2021","10.4727","10.4423","10.4910","10.4389","0.34%"
"Dec 15, 2021","10.4367","10.4444","10.4649","10.4150","-0.03%"
"Dec 14, 2021","10.4397","10.4523","10.4720","10.4333","-0.09%"
"Dec 13, 2021","10.4486","10.4648","10.4685","10.4290","-0.08%"
"Dec 10, 2021","10.4569","10.4487","10.4788","10.4326","0.11%"
"Dec 09, 2021","10.4450","10.4439","10.4637","10.4232","0.04%"
"Dec 08, 2021","10.4411","10.4039","10.4552","10.3941","0.39%"
"Dec 07, 2021","10.4002","10.3952","10.4199","10.3727","0.08%"
"Dec 06, 2021","10.3918","10.4470","10.4470","10.3810","-0.43%"
"Dec 03, 2021","10.4368","10.4251","10.4576","10.4099","0.16%"
"Dec 02, 2021","10.4205","10.4460","10.4578","10.4148","-0.21%"
"Dec 01, 2021","10.4423","10.4809","10.5002","10.4307","-0.32%"
"Nov 30, 2021","10.4753","10.4511","10.5030","10.4279","0.29%"
"Nov 29, 2021","10.4450","10.4442","10.4570","10.4078","-0.09%"
"Nov 26, 2021","10.4548","10.3977","10.4710","10.3865","0.60%"
"Nov 25, 2021","10.3926","10.3728","10.4040","10.3687","0.24%"
"Nov 24, 2021","10.3681","10.3864","10.3972","10.3573","-0.13%"
"Nov 23, 2021","10.3817","10.3847","10.4040","10.3735","0.03%"
"Nov 22, 2021","10.3791","10.3983","10.4068","10.3687","-0.12%"
"Nov 19, 2021","10.3918","10.4605","10.4633","10.3765","-0.61%"
"Nov 18, 2021","10.4558","10.4128","10.4657","10.4076","0.51%"
"Nov 17, 2021","10.4032","10.4086","10.4235","10.3582","-0.01%"
"Nov 16, 2021","10.4039","10.4239","10.4339","10.3903","-0.16%"
"Nov 15, 2021","10.4201","10.4532","10.4690","10.4069","-0.22%"
"Nov 12, 2021","10.4433","10.4470","10.4649","10.4315","0.00%"
"Nov 11, 2021","10.4432","10.4613","10.4701","10.4326","-0.11%"
"Nov 10, 2021","10.4547","10.4970","10.5057","10.4351","-0.36%"
"Nov 09, 2021","10.4922","10.5070","10.5243","10.4816","-0.10%"
"Nov 08, 2021","10.5028","10.4986","10.5163","10.4835","-0.03%"
"Nov 05, 2021","10.5056","10.4991","10.5163","10.4763","0.10%"
"Nov 04, 2021","10.4953","10.5253","10.5295","10.4844","-0.24%"
"Nov 03, 2021","10.5210","10.5122","10.5445","10.4993","0.13%"
"Nov 02, 2021","10.5075","10.5338","10.5355","10.5050","-0.19%"
"Nov 01, 2021","10.5273","10.5042","10.5351","10.4920","0.23%"
"Oct 29, 2021","10.5032","10.5478","10.5545","10.4963","-0.39%"
"Oct 28, 2021","10.5445","10.5283","10.5615","10.5097","0.26%"
"Oct 27, 2021","10.5176","10.5232","10.5393","10.5034","0.00%"
"Oct 26, 2021","10.5171","10.5287","10.5386","10.5125","-0.07%"
"Oct 25, 2021","10.5249","10.5386","10.5584","10.5136","-0.13%"
"Oct 22, 2021","10.5388","10.5214","10.5479","10.5087","0.21%"
"Oct 21, 2021","10.5167","10.5170","10.5456","10.5044","0.03%"
"Oct 20, 2021","10.5132","10.5126","10.5321","10.5000","0.05%"
"Oct 19, 2021","10.5083","10.5045","10.5334","10.4977","0.08%"
"Oct 18, 2021","10.4998","10.4999","10.5190","10.4700","0.02%"
"Oct 15, 2021","10.4979","10.4984","10.5115","10.4874","0.07%"
"Oct 14, 2021","10.4909","10.5160","10.5342","10.4858","-0.20%"
"Oct 13, 2021","10.5122","10.4731","10.5211","10.4677","0.41%"
"Oct 12, 2021","10.4693","10.4854","10.4930","10.4640","-0.09%"
"Oct 11, 2021","10.4790","10.5007","10.5095","10.4726","-0.08%"
"Oct 08, 2021","10.4878","10.4831","10.5075","10.4723","0.04%"
"Oct 07, 2021","10.4834","10.4860","10.5092","10.4733","0.03%"
"Oct 06, 2021","10.4807","10.5077","10.5091","10.4670","-0.17%"
"Oct 05, 2021","10.4984","10.5055","10.5164","10.4830","-0.01%"
"Oct 04, 2021","10.4998","10.4961","10.5205","10.4872","0.06%"
"Oct 01, 2021","10.4937","10.5101","10.5162","10.4803","-0.12%"
"Sep 30, 2021","10.5063","10.4945","10.5161","10.4803","0.15%"
"Sep 29, 2021","10.4908","10.5287","10.5362","10.4869","-0.32%"
"Sep 28, 2021","10.5240","10.5311","10.5512","10.5083","-0.01%"
"Sep 27, 2021","10.5255","10.5423","10.5459","10.5162","-0.05%"
"Sep 24, 2021","10.5304","10.5442","10.5696","10.5302","-0.09%"
"Sep 23, 2021","10.5395","10.5119","10.5716","10.5078","0.31%"
"Sep 22, 2021","10.5072","10.5415","10.5619","10.5075","-0.30%"
"Sep 21, 2021","10.5391","10.5411","10.5631","10.5259","0.02%"
"Sep 20, 2021","10.5373","10.5477","10.5604","10.5173","-0.01%"
"Sep 17, 2021","10.5384","10.5520","10.5779","10.5339","-0.12%"
"Sep 16, 2021","10.5510","10.5718","10.5758","10.5417","-0.16%"
"Sep 15, 2021","10.5680","10.5688","10.5896","10.5568","0.05%"
"Sep 14, 2021","10.5623","10.5717","10.6051","10.5587","-0.03%"
"Sep 13, 2021","10.5652","10.5655","10.5968","10.5307","0.03%"
"Sep 10, 2021","10.5621","10.5764","10.5916","10.5594","-0.10%"
"Sep 09, 2021","10.5726","10.5738","10.5928","10.5555","0.05%"
"Sep 08, 2021","10.5674","10.5795","10.5922","10.5599","-0.06%"
"Sep 07, 2021","10.5739","10.5921","10.6033","10.5670","-0.14%"
"Sep 06, 2021","10.5883","10.5955","10.6030","10.5802","-0.09%"
"Sep 03, 2021","10.5980","10.6065","10.6256","10.5798","-0.04%"
"Sep 02, 2021","10.6022","10.5841","10.6088","10.5705","0.22%"
"Sep 01, 2021","10.5784","10.5709","10.6116","10.5537","0.12%"
"Aug 31, 2021","10.5654","10.5670","10.6039","10.5545","0.02%"
"Aug 30, 2021","10.5634","10.5653","10.5751","10.5540","0.03%"
"Aug 27, 2021","10.5606","10.5498","10.5941","10.5363","0.15%"
"Aug 26, 2021","10.5450","10.5755","10.5782","10.5382","-0.25%"
"Aug 25, 2021","10.5712","10.5534","10.5822","10.5340","0.21%"
"Aug 24, 2021","10.5495","10.5503","10.5700","10.5295","0.05%"
"Aug 23, 2021","10.5446","10.5159","10.5669","10.5140","0.28%"
"Aug 20, 2021","10.5147","10.5239","10.5271","10.5051","-0.05%"
"Aug 19, 2021","10.5200","10.5364","10.5476","10.5116","-0.12%"
"Aug 18, 2021","10.5326","10.5350","10.5673","10.5230","0.01%"
"Aug 17, 2021","10.5313","10.5583","10.5704","10.5280","-0.24%"
"Aug 16, 2021","10.5563","10.5889","10.5956","10.5473","-0.25%"
"Aug 13, 2021","10.5832","10.5429","10.5992","10.5316","0.40%"
"Aug 12, 2021","10.5409","10.5582","10.5689","10.5330","-0.14%"
"Aug 11, 2021","10.5559","10.5234","10.5737","10.5152","0.35%"
"Aug 10, 2021","10.5188","10.5301","10.5465","10.5180","-0.07%"
"Aug 09, 2021","10.5263","10.5528","10.5616","10.5272","-0.21%"
"Aug 06, 2021","10.5481","10.5736","10.5817","10.5434","-0.20%"
"Aug 05, 2021","10.5688","10.5787","10.5931","10.5665","-0.05%"
"Aug 04, 2021","10.5740","10.5865","10.6248","10.5667","-0.06%"
"Aug 03, 2021","10.5801","10.5836","10.6061","10.5758","0.05%"
"Aug 02, 2021","10.5750","10.5542","10.6081","10.5489","0.62%"
"Jul 30, 2021","10.5097","10.5756","10.5951","10.5034","-0.53%"
"Jul 29, 2021","10.5655","10.5780","10.6146","10.5712","-0.02%"
"Jul 28, 2021","10.5671","10.5556","10.5927","10.5191","0.21%"
"Jul 27, 2021","10.5447","10.5639","10.6145","10.5433","-0.06%"
"Jul 26, 2021","10.5511","10.5545","10.5886","10.5410","-0.05%"
"Jul 23, 2021","10.5560","10.5550","10.5761","10.5356","0.03%"
"Jul 22, 2021","10.5530","10.5581","10.5853","10.5366","-0.01%"
"Jul 21, 2021","10.5543","10.5595","10.5865","10.5370","0.05%"
"Jul 20, 2021","10.5486","10.5759","10.5850","10.5454","-0.21%"
"Jul 19, 2021","10.5703","10.5723","10.6088","10.5498","0.02%"
"Jul 16, 2021","10.5683","10.5742","10.5908","10.5507","-0.01%"
"Jul 15, 2021","10.5694","10.5847","10.6040","10.5532","-0.05%"
"Jul 14, 2021","10.5746","10.5667","10.6040","10.5458","0.17%"
"Jul 13, 2021","10.5569","10.5925","10.6138","10.5470","-0.32%"
"Jul 12, 2021","10.5907","10.5836","10.6129","10.5519","-0.08%"
"Jul 09, 2021","10.5997","10.5895","10.6151","10.5623","0.19%"
"Jul 08, 2021","10.5794","10.5670","10.6077","10.5492","0.21%"
"Jul 07, 2021","10.5575","10.5784","10.5949","10.5537","-0.15%"
"Jul 06, 2021","10.5737","10.5905","10.6245","10.5597","-0.11%"
"Jul 05, 2021","10.5857","10.5889","10.6164","10.5620","-0.02%"
"Jul 02, 2021","10.5880","10.5833","10.6219","10.5632","0.09%"
"Jul 01, 2021","10.5785","10.5870","10.6145","10.5665","-0.05%"
"Jun 30, 2021","10.5836","10.5994","10.6159","10.5772","-0.11%"
"Jun 29, 2021","10.5948","10.6107","10.6228","10.5892","-0.09%"
"Jun 28, 2021","10.6039","10.6104","10.6381","10.5953","-0.11%"
"Jun 25, 2021","10.6156","10.6222","10.6513","10.6060","-0.02%"
"Jun 24, 2021","10.6179","10.6126","10.6401","10.6016","0.14%"
"Jun 23, 2021","10.6031","10.6215","10.6478","10.6034","-0.14%"
"Jun 22, 2021","10.6177","10.6157","10.6452","10.5919","0.19%"
"Jun 21, 2021","10.5972","10.5875","10.6285","10.5331","0.06%"
"Jun 18, 2021","10.5907","10.6213","10.6395","10.5837","-0.24%"
"Jun 17, 2021","10.6166","10.6531","10.6637","10.6053","-0.30%"
"Jun 16, 2021","10.6483","10.6976","10.7100","10.6327","-0.30%"
"Jun 15, 2021","10.6799","10.7118","10.7320","10.6785","-0.20%"
"Jun 14, 2021","10.7015","10.7269","10.7305","10.6906","0.03%"
"Jun 11, 2021","10.6988","10.7270","10.7614","10.6951","-0.23%"
"Jun 10, 2021","10.7233","10.7374","10.7631","10.7227","-0.08%"
"Jun 09, 2021","10.7323","10.7460","10.7683","10.7263","-0.08%"
"Jun 08, 2021","10.7414","10.7351","10.7614","10.7135","-0.06%"
"Jun 07, 2021","10.7478","10.7338","10.7659","10.7130","0.14%"
"Jun 04, 2021","10.7323","10.7437","10.7712","10.7064","0.01%"
"Jun 03, 2021","10.7308","10.7764","10.7927","10.7139","-0.34%"
"Jun 02, 2021","10.7670","10.7821","10.7935","10.7458","-0.04%"
"Jun 01, 2021","10.7718","10.7864","10.8116","10.7616","-0.16%"
"May 31, 2021","10.7887","10.7552","10.8110","10.7472","0.23%"
"May 28, 2021","10.7642","10.7691","10.8013","10.7511","0.03%"
"May 27, 2021","10.7605","10.7729","10.7963","10.7424","-0.07%"
"May 26, 2021","10.7680","10.7856","10.8150","10.7450","-0.01%"
"May 25, 2021","10.7689","10.7750","10.8202","10.7524","0.04%"
"May 24, 2021","10.7646","10.7520","10.7831","10.7339","0.25%"
"May 21, 2021","10.7376","10.7764","10.7900","10.7350","-0.31%"
"May 20, 2021","10.7711","10.7513","10.7836","10.7266","0.20%"
"May 19, 2021","10.7491","10.7654","10.7839","10.7289","-0.10%"
"May 18, 2021","10.7601","10.7492","10.7799","10.7265","0.20%"
"May 17, 2021","10.7383","10.7211","10.7586","10.7083","0.24%"
"May 14, 2021","10.7126","10.7216","10.7643","10.6999","0.01%"
"May 13, 2021","10.7114","10.7072","10.7432","10.6986","0.07%"
"May 12, 2021","10.7043","10.7472","10.7655","10.6999","-0.30%"
"May 11, 2021","10.7369","10.7332","10.7629","10.7208","0.11%"
"May 10, 2021","10.7249","10.7424","10.7693","10.7204","-0.21%"
"May 07, 2021","10.7471","10.7152","10.7703","10.6986","0.34%"
"May 06, 2021","10.7104","10.7105","10.7330","10.6873","0.08%"
"May 05, 2021","10.7021","10.7338","10.7429","10.6874","-0.08%"
"May 04, 2021","10.7106","10.7581","10.7704","10.7092","-0.40%"
"May 03, 2021","10.7533","10.7521","10.7757","10.7355","0.04%"
"Apr 30, 2021","10.7490","10.7911","10.8024","10.7469","-0.35%"
"Apr 29, 2021","10.7869","10.7751","10.8251","10.7556","0.16%"
"Apr 28, 2021","10.7696","10.7587","10.7890","10.7324","0.20%"
"Apr 27, 2021","10.7476","10.7500","10.7658","10.7343","0.01%"
"Apr 26, 2021","10.7461","10.7563","10.7718","10.7354","-0.19%"
"Apr 23, 2021","10.7663","10.7289","10.7762","10.7148","0.38%"
"Apr 22, 2021","10.7252","10.7354","10.7547","10.7067","-0.06%"
"Apr 21, 2021","10.7317","10.7364","10.7488","10.7134","0.01%"
"Apr 20, 2021","10.7310","10.7345","10.7624","10.7192","0.02%"
"Apr 19, 2021","10.7289","10.6975","10.7447","10.6601","0.23%"
"Apr 16, 2021","10.7039","10.6890","10.7181","10.6811","0.13%"
"Apr 15, 2021","10.6901","10.6964","10.7159","10.6804","-0.00%"
"Apr 14, 2021","10.6906","10.6811","10.7134","10.6712","0.12%"
"Apr 13, 2021","10.6774","10.6532","10.7072","10.6411","0.27%"
"Apr 12, 2021","10.6486","10.6518","10.6827","10.6356","-0.22%"
"Apr 09, 2021","10.6721","10.6719","10.6860","10.6524","0.02%"
"Apr 08, 2021","10.6702","10.6785","10.7014","10.6563","-0.08%"
"Apr 07, 2021","10.6783","10.6876","10.7107","10.6704","-0.15%"
"Apr 06, 2021","10.6946","10.6870","10.7057","10.6569","0.17%"
"Apr 05, 2021","10.6761","10.6453","10.6993","10.6272","0.21%"
"Apr 02, 2021","10.6539","10.6545","10.6685","10.6309","0.09%"
"Apr 01, 2021","10.6444","10.6379","10.6603","10.6179","0.16%"
"Mar 31, 2021","10.6274","10.6289","10.6515","10.6093","0.08%"
"Mar 30, 2021","10.6189","10.6587","10.6636","10.6126","-0.28%"
"Mar 29, 2021","10.6490","10.6590","10.6804","10.6183","-0.18%"
"Mar 26, 2021","10.6685","10.6670","10.6889","10.6561","0.05%"
"Mar 25, 2021","10.6637","10.6642","10.6969","10.6495","0.03%"
"Mar 24, 2021","10.6603","10.6641","10.6905","10.6388","0.06%"
"Mar 23, 2021","10.6541","10.6938","10.7046","10.6466","-0.34%"
"Mar 22, 2021","10.6908","10.6685","10.7099","10.6434","0.09%"
"Mar 19, 2021","10.6816","10.7228","10.7343","10.6658","-0.36%"
"Mar 18, 2021","10.7198","10.7528","10.7688","10.7034","-0.22%"
"Mar 17, 2021","10.7435","10.7212","10.7703","10.7041","0.25%"
"Mar 16, 2021","10.7164","10.7317","10.7487","10.7024","-0.10%"
"Mar 15, 2021","10.7270","10.7486","10.7621","10.7154","-0.20%"
"Mar 12, 2021","10.7483","10.7656","10.7781","10.7249","-0.12%"
"Mar 11, 2021","10.7608","10.7478","10.7788","10.7303","0.17%"
"Mar 10, 2021","10.7430","10.7368","10.7605","10.7165","0.11%"
"Mar 09, 2021","10.7315","10.7259","10.7535","10.7036","0.16%"
"Mar 08, 2021","10.7146","10.7387","10.7577","10.7063","-0.20%"
"Mar 05, 2021","10.7359","10.7471","10.7656","10.7208","-0.08%"
"Mar 04, 2021","10.7449","10.7745","10.7928","10.7348","-0.18%"
