"Date","Price","Open","High","Low","Change %"
"May 06, 2022","10.5504","10.5473","10.5850","10.5059","0.03%"
"May 05, 2022","10.5473","10.5603","10.5735","10.5281","-0.08%"
"May 04, 2022","10.5557","10.5181","10.5714","10.5076","0.34%"
"May 03, 2022","10.5195","10.5145","10.5574","10.5085","0.10%"
"May 02, 2022","10.5088","10.5288","10.5490","10.5084","-0.17%"
"Apr 29, 2022","10.5268","10.5125","10.5694","10.5072","0.14%"
"Apr 28, 2022","10.5119","10.5301","10.5391","10.4890","-0.13%"
"Apr 27, 2022","10.5254","10.5743","10.5827","10.5106","-0.41%"
"Apr 26, 2022","10.5691","10.6403","10.6498","10.5637","-0.65%"
"Apr 25, 2022","10.6385","10.6412","10.6460","10.5408","0.15%"
"Apr 22, 2022","10.6227","10.6218","10.6496","10.5866","0.05%"
"Apr 21, 2022","10.6173","10.6280","10.6742","10.6004","-0.08%"
"Apr 20, 2022","10.6253","10.6219","10.6635","10.6090","0.08%"
"Apr 19, 2022","10.6172","10.6257","10.6441","10.6021","-0.03%"
"Apr 18, 2022","10.6201","10.6140","10.6494","10.6035","0.13%"
"Apr 15, 2022","10.6066","10.5990","10.6280","10.5841","0.10%"
"Apr 14, 2022","10.5963","10.6502","10.6846","10.5717","-0.46%"
"Apr 13, 2022","10.6455","10.6575","10.6659","10.6168","-0.08%"
"Apr 12, 2022","10.6539","10.6644","10.6899","10.6232","-0.07%"
"Apr 11, 2022","10.6614","10.6830","10.6991","10.6220","0.43%"
"Apr 08, 2022","10.6162","10.6177","10.6362","10.5780","0.04%"
"Apr 07, 2022","10.6123","10.5886","10.6440","10.5765","0.26%"
"Apr 06, 2022","10.5846","10.5816","10.6424","10.5667","0.08%"
"Apr 05, 2022","10.5760","10.6926","10.7068","10.5749","-1.04%"
"Apr 04, 2022","10.6870","10.7343","10.7513","10.6839","-0.54%"
"Apr 01, 2022","10.7452","10.7299","10.7613","10.7007","0.17%"
"Mar 31, 2022","10.7272","10.7712","10.7884","10.7040","-0.37%"
"Mar 30, 2022","10.7675","10.7353","10.7840","10.7179","0.36%"
"Mar 29, 2022","10.7293","10.6465","10.7529","10.6362","0.93%"
"Mar 28, 2022","10.6305","10.6637","10.6726","10.6173","-0.21%"
"Mar 25, 2022","10.6532","10.6621","10.6879","10.6483","-0.04%"
"Mar 24, 2022","10.6573","10.6413","10.6959","10.6274","0.18%"
"Mar 23, 2022","10.6386","10.7126","10.7256","10.6037","-0.66%"
"Mar 22, 2022","10.7088","10.7422","10.7458","10.6976","-0.25%"
"Mar 21, 2022","10.7356","10.8073","10.8083","10.7277","-0.54%"
"Mar 18, 2022","10.7938","10.8406","10.8701","10.7824","-0.39%"
"Mar 17, 2022","10.8359","10.8006","10.8737","10.7874","0.36%"
"Mar 16, 2022","10.7968","10.7112","10.8396","10.7008","0.87%"
"Mar 15, 2022","10.7036","10.6352","10.7474","10.6206","0.68%"
"Mar 14, 2022","10.6315","10.6590","10.6632","10.5837","0.08%"
"Mar 11, 2022","10.6232","10.7899","10.8111","10.6159","-1.57%"
"Mar 10, 2022","10.7926","10.9100","10.9154","10.7835","-1.05%"
"Mar 09, 2022","10.9072","10.8757","10.9277","10.8562","0.35%"
"Mar 08, 2022","10.8690","10.7523","10.9411","10.7345","1.20%"
"Mar 07, 2022","10.7402","10.6778","10.7863","10.1656","0.92%"
"Mar 04, 2022","10.6423","10.6678","10.6722","10.5983","-0.18%"
"Mar 03, 2022","10.6617","10.6577","10.6799","10.6395","0.04%"
"Mar 02, 2022","10.6578","10.6620","10.7046","10.6318","0.00%"
"Mar 01, 2022","10.6573","10.7096","10.7190","10.6382","-0.47%"
"Feb 28, 2022","10.7078","10.6203","10.7360","10.5662","0.06%"
"Feb 25, 2022","10.7011","10.6076","10.7115","10.5979","0.92%"
"Feb 24, 2022","10.6039","10.6779","10.6839","10.5702","-0.66%"
"Feb 23, 2022","10.6747","10.6875","10.7061","10.6615","-0.07%"
"Feb 22, 2022","10.6823","10.7014","10.7235","10.6768","-0.13%"
"Feb 21, 2022","10.6967","10.6996","10.7322","10.6832","0.02%"
"Feb 18, 2022","10.6944","10.6707","10.7185","10.6469","0.27%"
"Feb 17, 2022","10.6660","10.6501","10.6784","10.6089","0.18%"
"Feb 16, 2022","10.6469","10.6432","10.6670","10.6269","0.10%"
"Feb 15, 2022","10.6366","10.6161","10.6508","10.6093","0.24%"
"Feb 14, 2022","10.6114","10.5986","10.6366","10.5837","0.10%"
"Feb 11, 2022","10.6004","10.6504","10.6566","10.5850","-0.44%"
"Feb 10, 2022","10.6471","10.6531","10.6802","10.6272","0.03%"
"Feb 09, 2022","10.6437","10.6476","10.6624","10.6328","0.01%"
"Feb 08, 2022","10.6424","10.6592","10.6662","10.6286","-0.13%"
"Feb 07, 2022","10.6558","10.6737","10.6742","10.6313","0.06%"
"Feb 04, 2022","10.6499","10.6154","10.6754","10.6109","0.36%"
"Feb 03, 2022","10.6116","10.5742","10.6306","10.5476","0.41%"
"Feb 02, 2022","10.5686","10.5714","10.5966","10.5628","0.01%"
"Feb 01, 2022","10.5676","10.5741","10.5975","10.5531","-0.03%"
"Jan 31, 2022","10.5704","10.5187","10.5827","10.5169","0.52%"
"Jan 28, 2022","10.5159","10.4879","10.5345","10.4699","0.32%"
"Jan 27, 2022","10.4822","10.5126","10.5183","10.4726","-0.24%"
"Jan 26, 2022","10.5069","10.5211","10.5420","10.4955","-0.09%"
"Jan 25, 2022","10.5164","10.5202","10.5387","10.5022","0.00%"
"Jan 24, 2022","10.5160","10.5237","10.5350","10.5035","-0.03%"
"Jan 21, 2022","10.5190","10.5105","10.5382","10.4986","0.12%"
"Jan 20, 2022","10.5059","10.5209","10.5424","10.4990","-0.11%"
"Jan 19, 2022","10.5171","10.5104","10.5358","10.4979","0.06%"
"Jan 18, 2022","10.5113","10.5391","10.5472","10.4981","-0.22%"
