"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","13,051.01","13,114.95","13,118.13","13,046.44","-","-0.54%"
"May 05, 2022","13,121.65","13,134.60","13,153.35","13,116.83","-","-0.17%"
"May 04, 2022","13,143.89","13,136.65","13,173.92","13,132.31","-","0.06%"
"Apr 29, 2022","13,136.65","13,134.64","13,157.25","13,101.97","-","0.02%"
"Apr 28, 2022","13,134.64","13,083.67","13,147.87","13,072.42","-","0.39%"
"Apr 27, 2022","13,083.67","13,106.89","13,127.40","13,065.96","-","-0.18%"
"Apr 26, 2022","13,106.89","13,167.39","13,167.39","13,098.20","-","-0.46%"
"Apr 25, 2022","13,167.39","13,169.67","13,183.37","13,130.45","-","-0.02%"
"Apr 22, 2022","13,169.67","13,096.87","13,169.67","13,096.87","-","0.56%"
"Apr 21, 2022","13,096.87","13,063.73","13,115.11","13,050.11","-","0.25%"
"Apr 20, 2022","13,063.73","13,052.07","13,084.59","13,027.26","-","0.09%"
"Apr 19, 2022","13,052.07","13,038.44","13,052.07","13,000.49","-","0.10%"
"Apr 18, 2022","13,038.92","12,999.31","13,046.29","12,990.96","-","0.30%"
"Apr 15, 2022","12,999.31","12,971.89","12,999.31","12,948.57","-","0.21%"
"Apr 14, 2022","12,971.89","12,971.89","12,979.35","12,952.66","-","0.00%"
"Apr 13, 2022","12,971.89","12,972.98","12,991.92","12,955.78","-","-0.01%"
"Apr 12, 2022","12,972.98","12,943.08","12,992.54","12,932.08","-","0.23%"
"Apr 11, 2022","12,943.08","12,946.49","12,968.33","12,923.04","-","-0.03%"
"Apr 08, 2022","12,946.49","12,926.36","12,953.94","12,888.51","-","0.16%"
"Apr 07, 2022","12,926.36","12,893.80","12,932.92","12,835.18","-","0.25%"
"Apr 06, 2022","12,893.80","12,878.42","12,901.54","12,845.09","-","0.12%"
"Apr 05, 2022","12,878.42","12,824.29","12,878.42","12,817.14","-","0.42%"
"Apr 04, 2022","12,824.29","12,843.52","12,899.89","12,803.95","-","-0.15%"
"Apr 01, 2022","12,843.52","12,818.11","12,860.88","12,814.59","-","0.20%"
"Mar 31, 2022","12,818.11","12,751.45","12,828.09","12,742.35","-","0.52%"
"Mar 30, 2022","12,751.45","12,721.38","12,782.51","12,703.18","-","0.24%"
"Mar 29, 2022","12,721.38","12,640.22","12,721.38","12,625.64","-","0.64%"
"Mar 28, 2022","12,640.22","12,602.92","12,640.22","12,590.87","-","0.30%"
"Mar 25, 2022","12,602.92","12,558.71","12,739.57","12,558.71","-","0.35%"
"Mar 24, 2022","12,558.71","12,577.91","12,630.33","12,554.68","-","-0.15%"
"Mar 23, 2022","12,577.91","12,820.10","12,820.10","12,573.49","-","-1.89%"
"Mar 22, 2022","12,820.10","12,867.90","12,930.43","12,820.10","-","-0.37%"
"Mar 21, 2022","12,867.90","12,877.80","12,929.61","12,867.82","-","-0.08%"
"Mar 18, 2022","12,877.80","12,935.51","12,983.44","12,865.86","-","-0.45%"
"Mar 17, 2022","12,935.51","12,761.96","12,935.51","12,761.96","-","1.36%"
"Mar 16, 2022","12,761.96","12,704.72","12,763.96","12,702.75","-","0.45%"
"Mar 15, 2022","12,704.72","12,659.18","12,747.35","12,635.65","-","0.36%"
"Mar 14, 2022","12,659.18","12,623.94","12,686.42","12,623.29","-","0.28%"
"Mar 11, 2022","12,623.94","12,567.54","12,724.54","12,559.00","-","0.45%"
"Mar 10, 2022","12,567.54","12,866.13","12,944.08","12,567.54","-","-2.32%"
"Mar 09, 2022","12,866.13","12,671.53","12,884.55","12,671.53","-","1.54%"
"Mar 08, 2022","12,671.53","12,415.46","12,683.25","12,397.36","-","2.06%"
"Mar 07, 2022","12,415.46","12,785.57","12,785.63","12,353.78","-","-2.89%"
"Mar 04, 2022","12,785.57","12,864.57","12,887.33","12,734.13","-","-0.61%"
"Mar 03, 2022","12,864.57","12,972.82","12,981.20","12,856.51","-","-0.83%"
"Mar 02, 2022","12,972.82","13,059.66","13,062.95","12,960.54","-","-0.67%"
"Mar 01, 2022","13,059.66","13,071.04","13,186.82","13,059.07","-","-0.09%"
"Feb 28, 2022","13,071.04","13,175.30","13,244.94","13,071.04","-","-0.79%"
"Feb 25, 2022","13,175.30","12,954.68","13,292.32","12,899.88","-","1.70%"
"Feb 24, 2022","12,954.68","13,509.67","13,509.67","12,946.89","-","-4.11%"
"Feb 23, 2022","13,509.67","13,521.35","13,562.09","13,495.32","-","-0.09%"
"Feb 22, 2022","13,521.35","13,649.81","13,649.81","13,461.96","-","-0.94%"
"Feb 21, 2022","13,649.81","13,716.73","13,727.94","13,640.58","-","-0.49%"
"Feb 18, 2022","13,716.73","13,766.60","13,790.02","13,716.28","-","-0.36%"
"Feb 17, 2022","13,766.60","13,760.26","13,801.52","13,758.03","-","0.05%"
"Feb 16, 2022","13,760.26","13,771.96","13,803.01","13,760.26","-","-0.05%"
"Feb 15, 2022","13,767.72","13,866.46","13,866.46","13,767.72","-","-0.71%"
"Feb 14, 2022","13,866.46","13,950.06","13,957.16","13,852.19","-","-0.60%"
"Feb 11, 2022","13,950.06","13,991.47","14,005.52","13,949.69","-","-0.30%"
"Feb 10, 2022","13,991.47","13,950.56","13,992.49","13,950.56","-","0.29%"
"Feb 09, 2022","13,950.56","13,985.64","13,990.98","13,945.93","-","-0.25%"
"Feb 08, 2022","13,985.64","13,951.27","14,012.64","13,939.89","-","0.25%"
"Feb 07, 2022","13,951.27","13,949.34","13,955.22","13,918.90","-","0.01%"
"Feb 04, 2022","13,949.34","13,913.39","13,965.35","13,905.75","-","0.26%"
"Feb 03, 2022","13,913.39","13,905.51","13,913.39","13,859.89","-","0.06%"
"Feb 02, 2022","13,905.51","13,863.11","13,907.75","13,862.60","-","0.31%"
"Feb 01, 2022","13,863.11","13,883.49","13,896.45","13,850.13","-","-0.15%"
"Jan 31, 2022","13,883.49","13,793.21","13,887.85","13,791.29","-","0.65%"
"Jan 28, 2022","13,793.21","13,733.86","13,813.99","13,732.46","-","0.43%"
"Jan 27, 2022","13,733.86","13,722.29","13,758.13","13,721.07","-","0.08%"
"Jan 26, 2022","13,722.29","13,706.62","13,723.61","13,688.43","-","0.11%"
"Jan 25, 2022","13,706.62","13,753.50","13,765.73","13,706.62","-","-0.34%"
